date,description,debit,credit,balance,account_suffix,domain,source,sub_source,rule_used,parse_confidence
2023-01-19,BeanCo Coffee,12.22,,10786.50,xx9001,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-19,CityRail,10.19,,10776.31,xx9001,Transport & Parking,expense,CityRail,merchant_match,high
2023-01-19,HomePower Utilities,305.81,,10470.50,xx9002,Utilities & Rates,expense,HomePower,merchant_match,high
2023-01-19,Birthday Gift Shop,71.10,,10399.40,xx9002,Gifts,expense,Birthday Gift Shop,merchant_match,high
2023-01-20,Pizza Palace,23.12,,10376.28,xx9002,Dining Out & Takeaway,expense,Pizza Palace,merchant_match,high
2023-01-20,Council Rates,431.98,,9944.30,xx9003,Utilities & Rates,expense,Council Rates,merchant_match,high
2023-01-20,Telco Plus Mobile,60.00,,9884.30,xx9002,Communications & Internet,expense,Telco Plus,merchant_match,high
2023-01-20,Online Learning,45.00,,9839.30,xx9003,Education & Training,expense,Online Learning,merchant_match,high
2023-01-21,BeanCo Coffee,10.13,,9829.17,xx9001,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-21,CityRail,10.19,,9818.98,xx9001,Transport & Parking,expense,CityRail,merchant_match,high
2023-01-22,FuelStop Petrol,95.28,,9723.70,xx9001,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-22,Beauty Spa,95.20,,9628.50,xx9003,Personal Care,expense,Beauty Spa,merchant_match,high
2023-01-22,Australia Post,24.31,,9604.19,xx9001,Administrative & Post,expense,Australia Post,merchant_match,high
2023-01-23,Home Loan Repayment,920.00,,8684.19,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-01-23,CityRail,8.24,,8675.95,xx9001,Transport & Parking,expense,CityRail,merchant_match,high
2023-01-23,PetSupplies Co,68.20,,8607.75,xx9003,Pet Expenses,expense,PetSupplies,merchant_match,high
2023-01-24,FuelStop Petrol,83.01,,8524.74,xx9001,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-25,BeanCo Coffee,10.66,,8514.08,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-25,FastFoods Drive-Thru,21.31,,8492.77,xx9002,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-01-25,FuelStop Petrol,79.67,,8413.10,xx9003,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-26,FastFoods Drive-Thru,32.98,,8380.12,xx9002,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-01-26,HomeSafe Insurance,177.33,,8202.79,xx9001,Insurance,expense,HomeSafe,merchant_match,high
2023-01-26,Birthday Gift Shop,75.65,,8127.14,xx9002,Gifts,expense,Birthday Gift Shop,merchant_match,high
2023-01-27,Hairdresser,43.19,,8083.95,xx9001,Personal Care,expense,Hairdresser,merchant_match,high
2023-01-28,FreshMart Supermarket,98.77,,7985.18,xx9002,Groceries,expense,FreshMart,merchant_match,high
2023-01-28,FastFoods Drive-Thru,23.47,,7961.71,xx9002,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-01-28,CityPharmacy,35.38,,7926.33,xx9003,Medical & Health,expense,CityPharmacy,merchant_match,high
2023-01-28,Hairdresser,54.05,,7872.28,xx9001,Personal Care,expense,Hairdresser,merchant_match,high
2023-01-28,Online Learning,45.00,,7827.28,xx9003,Education & Training,expense,Online Learning,merchant_match,high
2023-01-29,BeanCo Coffee,11.98,,7815.30,xx9002,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-29,FuelStop Petrol,79.77,,7735.53,xx9001,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-29,HomePower Utilities,309.67,,7425.86,xx9002,Utilities & Rates,expense,HomePower,merchant_match,high
2023-01-29,Fashion Outlet,77.24,,7348.62,xx9001,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-01-29,Charity Foundation,25.00,,7323.62,xx9001,Donations & Charity,expense,Charity Foundation,merchant_match,high
2023-01-30,Home Loan Repayment,920.00,,6403.62,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-01-30,BeanCo Coffee,14.63,,6388.99,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-30,Big Box Hardware,32.78,,6356.21,xx9002,Home & Garden,expense,Big Box Hardware,merchant_match,high
2023-01-30,Fashion Outlet,137.73,,6218.48,xx9001,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-01-30,CinemaWorld,34.52,,6183.96,xx9001,Social & Recreation,expense,CinemaWorld,merchant_match,high
2023-01-31,FreshMart Supermarket,154.07,,6029.89,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-01-31,Pizza Palace,42.18,,5987.71,xx9003,Dining Out & Takeaway,expense,Pizza Palace,merchant_match,high
2023-01-31,AutoSure Car Insurance,108.03,,5879.68,xx9003,Insurance,expense,AutoSure,merchant_match,high
2023-01-31,StreamFlix,19.00,,5860.68,xx9002,Media Subscriptions,expense,StreamFlix,merchant_match,high
2023-02-01,Salary Employer A,,3186.01,9046.69,xx9001,INCOME,income,Employer A — Wage,income_match,high
2023-02-01,Salary Employer B,,2746.34,11793.03,xx9001,INCOME,income,Employer B — Wage,income_match,high
2023-02-01,BeanCo Coffee,12.03,,11781.00,xx9002,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-01,Hairdresser,45.09,,11735.91,xx9003,Personal Care,expense,Hairdresser,merchant_match,high
2023-02-02,BeanCo Coffee,11.32,,11724.59,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-02,FuelStop Petrol,76.12,,11648.47,xx9002,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-02-02,CityRail,9.07,,11639.40,xx9002,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-02,CityPharmacy,28.88,,11610.52,xx9001,Medical & Health,expense,CityPharmacy,merchant_match,high
2023-02-02,StreamFlix,19.00,,11591.52,xx9002,Media Subscriptions,expense,StreamFlix,merchant_match,high
2023-02-03,BeanCo Coffee,14.70,,11576.82,xx9001,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-03,FastFoods Drive-Thru,24.68,,11552.14,xx9003,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-02-03,CityRail,7.67,,11544.47,xx9001,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-04,FreshMart Supermarket,124.60,,11419.87,xx9003,Groceries,expense,FreshMart,merchant_match,high
2023-02-04,CityRail,5.69,,11414.18,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-04,PetSupplies Co,68.10,,11346.08,xx9002,Pet Expenses,expense,PetSupplies,merchant_match,high
2023-02-05,FreshMart Supermarket,126.20,,11219.88,xx9003,Groceries,expense,FreshMart,merchant_match,high
2023-02-05,Hairdresser,48.12,,11171.76,xx9002,Personal Care,expense,Hairdresser,merchant_match,high
2023-02-06,Home Loan Repayment,920.00,,10251.76,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-02-06,Pizza Palace,28.90,,10222.86,xx9002,Dining Out & Takeaway,expense,Pizza Palace,merchant_match,high
2023-02-06,FuelStop Petrol,74.08,,10148.78,xx9003,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-02-06,CityRail,8.03,,10140.75,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-06,WineCellar,35.80,,10104.95,xx9001,Alcohol,expense,WineCellar,merchant_match,high
2023-02-07,CityRail,7.25,,10097.70,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-07,MusicCloud,12.00,,10085.70,xx9001,Media Subscriptions,expense,MusicCloud,merchant_match,high
2023-02-07,Garden Nursery,20.42,,10065.28,xx9003,Home & Garden,expense,Garden Nursery,merchant_match,high
2023-02-07,BankFee,4.00,,10061.28,xx9001,Bank Fees,expense,BankFee,merchant_match,high
2023-02-08,FreshMart Supermarket,90.26,,9971.02,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-02-08,PetSupplies Co,40.90,,9930.12,xx9003,Pet Expenses,expense,PetSupplies,merchant_match,high
2023-02-09,FastFoods Drive-Thru,20.47,,9909.65,xx9001,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-02-09,MedCentre,78.71,,9830.94,xx9002,Medical & Health,expense,MedCentre,merchant_match,high
2023-02-10,Corner Grocer,50.29,,9780.65,xx9002,Groceries,expense,Corner Grocer,merchant_match,high
2023-02-10,CityRail,4.54,,9776.11,xx9001,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-10,AutoSure Car Insurance,105.84,,9670.27,xx9003,Insurance,expense,AutoSure,merchant_match,high
2023-02-11,BeanCo Coffee,9.74,,9660.53,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-11,FastFoods Drive-Thru,27.22,,9633.31,xx9002,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-02-12,FreshMart Supermarket,102.42,,9530.89,xx9002,Groceries,expense,FreshMart,merchant_match,high
2023-02-12,FastFoods Drive-Thru,25.73,,9505.16,xx9001,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-02-12,FuelStop Petrol,63.51,,9441.65,xx9003,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-02-12,Garden Nursery,26.62,,9415.03,xx9003,Home & Garden,expense,Garden Nursery,merchant_match,high
2023-02-12,Fashion Outlet,21.70,,9393.33,xx9003,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-02-12,Hairdresser,64.80,,9328.53,xx9003,Personal Care,expense,Hairdresser,merchant_match,high
2023-02-13,Home Loan Repayment,920.00,,8408.53,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-02-13,BeanCo Coffee,8.73,,8399.80,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-13,CityRail,4.45,,8395.35,xx9002,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-13,StreamFlix,19.00,,8376.35,xx9003,Media Subscriptions,expense,StreamFlix,merchant_match,high
2023-02-13,Fashion Outlet,88.46,,8287.89,xx9003,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-02-14,AutoSure Car Insurance,104.27,,8183.62,xx9001,Insurance,expense,AutoSure,merchant_match,high
2023-02-14,CityPharmacy,3.17,,8180.45,xx9003,Medical & Health,expense,CityPharmacy,merchant_match,high
2023-02-14,MusicCloud,12.00,,8168.45,xx9003,Media Subscriptions,expense,MusicCloud,merchant_match,high
2023-02-14,Australia Post,7.71,,8160.74,xx9003,Administrative & Post,expense,Australia Post,merchant_match,high
2023-02-15,Salary Employer A,,3749.73,11910.47,xx9001,INCOME,income,Employer A — Wage,income_match,high
2023-02-15,Salary Employer B,,2822.47,14732.94,xx9001,INCOME,income,Employer B — Wage,income_match,high
2023-02-15,FreshMart Supermarket,116.72,,14616.22,xx9002,Groceries,expense,FreshMart,merchant_match,high
2023-02-15,BeanCo Coffee,13.73,,14602.49,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-15,CityRail,8.68,,14593.81,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-15,FibreNet Internet,85.00,,14508.81,xx9003,Communications & Internet,expense,FibreNet,merchant_match,high
2023-02-15,Big Box Hardware,93.40,,14415.41,xx9003,Home & Garden,expense,Big Box Hardware,merchant_match,high
2023-02-15,Australia Post,7.38,,14408.03,xx9003,Administrative & Post,expense,Australia Post,merchant_match,high
2023-02-15,OnceOff Repair,206.74,,14201.29,xx9003,One-off Expenses,expense,OnceOff Repair,merchant_match,high
2023-02-16,BeanCo Coffee,11.20,,14190.09,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-16,CityRail,9.23,,14180.86,xx9002,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-17,Telco Plus Mobile,60.00,,14120.86,xx9002,Communications & Internet,expense,Telco Plus,merchant_match,high
2023-02-17,WineCellar,42.17,,14078.69,xx9001,Alcohol,expense,WineCellar,merchant_match,high
2023-02-17,LocalBrewery,34.99,,14043.70,xx9001,Alcohol,expense,LocalBrewery,merchant_match,high
2023-02-17,Australia Post,16.99,,14026.71,xx9002,Administrative & Post,expense,Australia Post,merchant_match,high
2023-02-18,Council Rates,431.21,,13595.50,xx9001,Utilities & Rates,expense,Council Rates,merchant_match,high
2023-02-18,BookworldOnline,16.00,,13579.50,xx9003,Media Subscriptions,expense,BookworldOnline,merchant_match,high
2023-02-18,StreamFlix,19.00,,13560.50,xx9003,Media Subscriptions,expense,StreamFlix,merchant_match,high
2023-02-18,BankFee,4.00,,13556.50,xx9002,Bank Fees,expense,BankFee,merchant_match,high
2023-02-19,BeanCo Coffee,8.82,,13547.68,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-19,CityRail,10.21,,13537.47,xx9002,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-19,Telco Plus Mobile,60.00,,13477.47,xx9003,Communications & Internet,expense,Telco Plus,merchant_match,high
2023-02-19,BankFee,4.00,,13473.47,xx9001,Bank Fees,expense,BankFee,merchant_match,high
2023-02-20,Home Loan Repayment,920.00,,12553.47,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-02-20,Pizza Palace,28.89,,12524.58,xx9001,Dining Out & Takeaway,expense,Pizza Palace,merchant_match,high
2023-02-20,FastFoods Drive-Thru,29.43,,12495.15,xx9002,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-02-20,AutoSure Car Insurance,81.32,,12413.83,xx9002,Insurance,expense,AutoSure,merchant_match,high
2023-02-20,MedCentre,54.13,,12359.70,xx9003,Medical & Health,expense,MedCentre,merchant_match,high
2023-02-20,Big Box Hardware,85.48,,12274.22,xx9003,Home & Garden,expense,Big Box Hardware,merchant_match,high
2023-02-20,Accounting Services,350.00,,11924.22,xx9003,Accounting & Tax,expense,Accounting Services,merchant_match,high
2023-02-21,FastFoods Drive-Thru,27.86,,11896.36,xx9003,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-02-21,CityRail,9.98,,11886.38,xx9002,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-21,Fashion Outlet,82.77,,11803.61,xx9002,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-02-22,Corner Grocer,53.44,,11750.17,xx9001,Groceries,expense,Corner Grocer,merchant_match,high
2023-02-22,BeanCo Coffee,16.32,,11733.85,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-23,FreshMart Supermarket,135.76,,11598.09,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-02-23,HomePower Utilities,223.61,,11374.48,xx9003,Utilities & Rates,expense,HomePower,merchant_match,high
2023-02-23,WineCellar,72.12,,11302.36,xx9001,Alcohol,expense,WineCellar,merchant_match,high
2023-02-24,FastFoods Drive-Thru,25.07,,11277.29,xx9002,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-02-24,CinemaWorld,27.09,,11250.20,xx9002,Social & Recreation,expense,CinemaWorld,merchant_match,high
2023-02-25,BeanCo Coffee,8.42,,11241.78,xx9002,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-25,Big Box Hardware,47.60,,11194.18,xx9001,Home & Garden,expense,Big Box Hardware,merchant_match,high
2023-02-26,FreshMart Supermarket,112.51,,11081.67,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-02-26,BeanCo Coffee,4.34,,11077.33,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-27,Home Loan Repayment,920.00,,10157.33,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-02-27,BeanCo Coffee,8.53,,10148.80,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-27,CityRail,8.53,,10140.27,xx9002,Transport & Parking,expense,CityRail,merchant_match,high
2023-02-28,Corner Grocer,45.68,,10094.59,xx9003,Groceries,expense,Corner Grocer,merchant_match,high
2023-02-28,BeanCo Coffee,10.16,,10084.43,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-02-28,Fashion Outlet,102.74,,9981.69,xx9001,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-03-01,Salary Employer A,,3742.92,13724.61,xx9001,INCOME,income,Employer A — Wage,income_match,high
2023-03-01,Salary Employer B,,2777.19,16501.80,xx9001,INCOME,income,Employer B — Wage,income_match,high
2023-03-01,FreshMart Supermarket,149.38,,16352.42,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-03-01,BeanCo Coffee,8.49,,16343.93,xx9002,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-03-01,Pizza Palace,22.24,,16321.69,xx9002,Dining Out & Takeaway,expense,Pizza Palace,merchant_match,high
2023-03-01,HomeSafe Insurance,182.11,,16139.58,xx9002,Insurance,expense,HomeSafe,merchant_match,high
2023-03-01,Fashion Outlet,123.35,,16016.23,xx9002,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-03-02,FreshMart Supermarket,129.92,,15886.31,xx9003,Groceries,expense,FreshMart,merchant_match,high
2023-03-02,BeanCo Coffee,14.41,,15871.90,xx9001,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-03-02,LocalBrewery,61.79,,15810.11,xx9003,Alcohol,expense,LocalBrewery,merchant_match,high
2023-03-02,Mini Golf Co,39.70,,15770.41,xx9003,Social & Recreation,expense,Mini Golf Co,merchant_match,high
2023-03-03,Corner Grocer,36.85,,15733.56,xx9001,Groceries,expense,Corner Grocer,merchant_match,high
2023-03-03,CityPharmacy,52.93,,15680.63,xx9002,Medical & Health,expense,CityPharmacy,merchant_match,high
2023-03-03,WineCellar,60.30,,15620.33,xx9002,Alcohol,expense,WineCellar,merchant_match,high
2023-03-03,TechMegaStore,230.34,,15389.99,xx9002,Technology & Equipment,expense,TechMegaStore,merchant_match,high
2023-03-03,Australia Post,23.44,,15366.55,xx9003,Administrative & Post,expense,Australia Post,merchant_match,high
2023-03-04,CityRail,7.15,,15359.40,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-03-04,Telco Plus Mobile,60.00,,15299.40,xx9002,Communications & Internet,expense,Telco Plus,merchant_match,high
2023-03-04,MusicCloud,12.00,,15287.40,xx9002,Media Subscriptions,expense,MusicCloud,merchant_match,high
2023-03-05,Council Rates,436.90,,14850.50,xx9002,Utilities & Rates,expense,Council Rates,merchant_match,high
2023-03-05,AutoSure Car Insurance,98.71,,14751.79,xx9003,Insurance,expense,AutoSure,merchant_match,high
2023-03-06,Home Loan Repayment,920.00,,13831.79,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-03-06,FreshMart Supermarket,107.10,,13724.69,xx9002,Groceries,expense,FreshMart,merchant_match,high
2023-03-06,CityRail,7.36,,13717.33,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-03-06,HomeSafe Insurance,179.33,,13538.00,xx9001,Insurance,expense,HomeSafe,merchant_match,high
2023-03-06,CityPharmacy,49.04,,13488.96,xx9001,Medical & Health,expense,CityPharmacy,merchant_match,high
2023-03-06,Mini Golf Co,46.28,,13442.68,xx9001,Social & Recreation,expense,Mini Golf Co,merchant_match,high
2023-03-07,Corner Grocer,36.19,,13406.49,xx9002,Groceries,expense,Corner Grocer,merchant_match,high
2023-03-07,Parking Authority,17.39,,13389.10,xx9002,Transport & Parking,expense,Parking Authority,merchant_match,high
2023-03-07,MusicCloud,12.00,,13377.10,xx9001,Media Subscriptions,expense,MusicCloud,merchant_match,high
2023-03-08,Telco Plus Mobile,60.00,,13317.10,xx9002,Communications & Internet,expense,Telco Plus,merchant_match,high
2023-03-08,Fashion Outlet,97.81,,13219.29,xx9002,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-03-08,CinemaWorld,25.75,,13193.54,xx9001,Social & Recreation,expense,CinemaWorld,merchant_match,high
2023-03-08,Australia Post,19.77,,13173.77,xx9002,Administrative & Post,expense,Australia Post,merchant_match,high
2023-03-10,FreshMart Supermarket,144.08,,13029.69,xx9003,Groceries,expense,FreshMart,merchant_match,high
2023-03-10,BeanCo Coffee,12.83,,13016.86,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-03-10,Parking Authority,15.56,,13001.30,xx9001,Transport & Parking,expense,Parking Authority,merchant_match,high
2023-03-10,AutoSure Car Insurance,106.58,,12894.72,xx9002,Insurance,expense,AutoSure,merchant_match,high
2023-03-10,FitnessFirst Gym,65.00,,12829.72,xx9002,Sport & Hobbies,expense,FitnessFirst,merchant_match,high
